fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Andrew Martinez,175.26,215.0,NA,NA,NA,9,60%,6,40%,0,0%,0.0,0%,3.4,31%,2.3,47%,1.5,NA,0%
Mana Martinez,177.8,135.0,177.8,Orthodox,1996-03-25,10,71%,4,29%,0,0%,0.0,0%,4.33,48%,4.94,NA,0.72,42%,25%
Victor Martinez,172.72,155.0,177.8,Orthodox,1991-07-17,13,68%,6,32%,0,0%,0.0,0%,7.94,51%,7.66,53%,0.7,33%,80%
Roque Martinez,177.8,250.0,182.88,Orthodox,1986-03-04,15,60%,8,32%,2,8%,0.0,0%,3.28,53%,4.9,56%,0.38,NA,53%
Melissa Martinez,157.48000000000002,115.0,167.64,Southpaw,1997-08-18,8,89%,1,11%,0,0%,0.0,0%,3.9,52%,4.33,55%,0.5,NA,25%
Julieta Martinez,154.94,115.0,157.48,Orthodox,2004-09-14,8,100%,0,0%,0,0%,0.0,0%,2.53,44%,3.6,41%,5.0,45%,100%
David Martinez,167.64,135.0,167.64,Orthodox,1998-08-03,11,92%,1,8%,0,0%,0.0,0%,5.27,49%,3.07,66%,0.0,NA,100%
Wagner da Conceicao Martins,200.66,390.0,NA,Orthodox,1978-05-19,9,50%,8,44%,0,0%,1.0,6%,1.91,37%,5.43,42%,2.2,NA,100%
Adriano Martins,177.8,155.0,182.88,Southpaw,1982-12-16,28,76%,9,24%,0,0%,0.0,0%,1.8,38%,2.14,65%,0.83,NA,81%
Lucas Martins,182.88,145.0,182.88,Southpaw,1988-11-11,19,86%,3,14%,0,0%,0.0,0%,2.87,35%,4.14,NA,0.0,NA,76%
Max Martyniouk,NA,155.0,NA,NA,NA,1,50%,1,50%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Bristol Marunde,185.42,170.0,190.5,Orthodox,1982-04-20,16,62%,10,38%,0,0%,0.0,0%,1.42,21%,4.4,47%,1.6,33%,14%
Shoji Maruyama,170.18,139.0,NA,Orthodox,1983-04-24,12,55%,9,41%,1,5%,0.0,0%,1.4,63%,0.27,55%,0.0,NA,54%
Kazuma Maruyama,180.34,155.0,182.88,Orthodox,1992-07-19,11,61%,7,39%,0,0%,0.0,0%,3.83,41%,2.23,53%,4.79,33%,100%
Islem Masraf,182.88,205.0,187.96,Southpaw,1996-06-07,3,75%,1,25%,0,0%,0.0,0%,0.68,NA,3.88,15%,0.0,NA,100%
Mike Massenzio,187.96,185.0,185.42,Southpaw,1982-11-01,13,59%,9,41%,0,0%,0.0,0%,2.08,45%,3.59,54%,2.74,24%,50%
Jameel Massouh,177.8,145.0,182.88,Orthodox,1984-09-12,26,74%,9,26%,0,0%,0.0,0%,1.91,54%,2.62,55%,0.67,15%,50%
Tiffany Masters,160.02,115.0,165.1,Orthodox,1994-07-31,2,67%,1,33%,0,0%,0.0,0%,3.53,62%,2.58,NA,3.06,NA,0%
Jorge Masvidal,180.34,170.0,187.96,Orthodox,1984-11-12,35,67%,17,33%,0,0%,0.0,0%,4.05,47%,3.05,64%,1.38,59%,72%
Al Matavao,172.72,205.0,170.18,Orthodox,1994-02-23,8,73%,3,27%,0,0%,0.0,0%,7.84,46%,6.7,58%,0.0,NA,0%
Tateki Matsuda,170.18,125.0,NA,Orthodox,1986-02-27,13,62%,8,38%,0,0%,0.0,0%,3.2,34%,3.43,69%,0.0,NA,16%
Daijiro Matsui,175.26,200.0,NA,Orthodox,1972-12-05,13,27%,29,59%,7,14%,0.0,0%,0.84,45%,1.69,55%,1.83,NA,43%
Toki Matsui,167.64,125.0,165.1,Orthodox,1999-09-08,6,86%,1,14%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Koichiro Matsumoto,170.18,145.0,NA,NA,1986-03-07,15,79%,3,16%,1,5%,0.0,0%,1.9,26%,3.5,31%,0.0,NA,0%
Jean Matsumoto,167.64,135.0,172.72,Orthodox,1999-09-09,16,100%,0,0%,0,0%,0.0,0%,5.2,NA,5.05,46%,1.13,27%,57%
Koyomi Matsushima,170.18,145.0,167.64,Orthodox,1992-10-08,13,68%,6,32%,0,0%,0.0,0%,2.7,47%,2.83,59%,9.0,52%,33%
Naoki Matsushita,167.64,155.0,NA,Orthodox,NA,12,40%,16,53%,1,3%,1.0,3%,3.3,32%,2.2,63%,1.5,NA,0%
AJ Matthews,180.34,185.0,NA,NA,NA,8,53%,7,47%,0,0%,0.0,0%,5.11,52%,4.96,51%,0.0,NA,100%
Jake Matthews,180.34,170.0,185.42,Orthodox,1994-08-19,20,74%,7,26%,0,0%,0.0,0%,3.38,44%,2.54,61%,1.56,41%,64%
Connor Matthews,172.72,145.0,180.34,Switch,1992-05-31,7,78%,2,22%,0,0%,0.0,0%,5.3,44%,6.19,56%,2.97,53%,50%
Claudio Mattos,NA,185.0,NA,Orthodox,NA,5,56%,4,44%,0,0%,0.0,0%,NA,NA,3.53,NA,0.0,NA,0%
John Matua,187.96,400.0,NA,Orthodox,NA,1,20%,4,80%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Francesco Maturi,NA,NA,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Vladimir Matyushenko,182.88,205.0,187.96,Orthodox,1971-01-04,27,77%,8,23%,0,0%,0.0,0%,1.9,44%,1.62,59%,3.25,46%,70%
Miranda Maverick,160.02,125.0,165.1,Southpaw,1997-07-01,17,77%,5,23%,0,0%,0.0,0%,3.39,45%,2.31,NA,2.39,41%,44%
Nick Maximov,182.88,185.0,193.04,Southpaw,1997-12-23,8,80%,2,20%,0,0%,0.0,0%,1.93,45%,2.64,46%,4.16,45%,35%
Elaina Maxwell,172.72,145.0,NA,Orthodox,1978-12-16,7,64%,4,36%,0,0%,0.0,0%,2.07,NA,2.4,53%,0.0,NA,50%
Jeremy May,185.42,185.0,NA,NA,1986-10-23,13,54%,10,42%,0,0%,1.0,4%,NA,NA,NA,NA,0.0,NA,0%
Jack May,203.2,255.0,NA,Switch,1981-04-14,9,75%,3,25%,0,0%,0.0,0%,1.52,38%,3.29,33%,0.91,33%,20%
Don'Tale Mayes,198.12,260.0,205.74,Orthodox,1992-01-16,11,58%,7,37%,0,0%,1.0,5%,3.51,43%,3.79,46%,0.65,38%,58%
Gray Maynard,175.26,155.0,177.8,Orthodox,1979-05-09,13,59%,7,32%,1,5%,1.0,5%,1.92,32%,2.64,66%,2.91,47%,81%
Brooke Mayo,170.18,125.0,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,1.92,34%,3.2,63%,3.2,NA,0%
Gina Mazany,167.64,125.0,172.72,Southpaw,1988-08-19,7,54%,6,46%,0,0%,0.0,0%,3.73,NA,3.52,NA,4.34,52%,33%
Sabina Mazo,170.18,125.0,177.8,Orthodox,1997-03-25,9,69%,4,31%,0,0%,0.0,0%,6.1,43%,4.35,57%,0.65,NA,59%
Francesco Mazzeo,190.5,205.0,190.5,Orthodox,1997-09-23,4,80%,1,20%,0,0%,0.0,0%,1.83,44%,0.75,65%,3.23,NA,0%
Scott McAfee,172.72,155.0,NA,Orthodox,1983-08-23,14,67%,7,33%,0,0%,0.0,0%,NA,NA,1.33,NA,0.0,NA,0%
Bobby McAndrews,NA,NA,NA,Orthodox,NA,1,25%,3,75%,0,0%,0.0,0%,2.56,83%,1.03,NA,0.0,NA,33%
Michael McBride,185.42,155.0,NA,Orthodox,1986-03-09,8,73%,3,27%,0,0%,0.0,0%,4.08,48%,5.85,NA,1.85,42%,30%
Ian McCall,165.1,125.0,162.56,Orthodox,1984-05-07,13,68%,5,26%,1,5%,0.0,0%,3.59,39%,3.25,67%,2.08,NA,88%
Molly McCann,162.56,115.0,157.48,Orthodox,1990-05-04,14,67%,7,33%,0,0%,0.0,0%,5.39,49%,4.72,62%,1.84,36%,39%
Charles McCarthy,177.8,185.0,180.34,Orthodox,1980-08-06,10,67%,5,33%,0,0%,0.0,0%,0.18,12%,4.03,56%,2.67,NA,0%
Sean McCorkle,200.66,265.0,205.74,Orthodox,1976-07-17,17,71%,7,29%,0,0%,0.0,0%,0.85,44%,2.48,52%,2.12,NA,33%
Danni McCormack,162.56,125.0,157.48,Southpaw,1990-03-15,9,82%,2,18%,0,0%,0.0,0%,6.93,51%,4.53,NA,6.0,42%,50%
Kris McCray,182.88,170.0,193.04,Orthodox,1981-09-24,8,62%,5,38%,0,0%,0.0,0%,2.69,45%,2.57,54%,2.88,55%,38%
Tamdan McCrory,193.04,185.0,193.04,Switch,1986-11-05,14,74%,5,26%,0,0%,0.0,0%,2.07,49%,1.6,46%,2.28,NA,33%
Rob McCullough,175.26,155.0,175.26,Orthodox,1977-05-26,19,70%,8,30%,0,0%,0.0,0%,2.47,36%,2.84,59%,0.46,NA,68%
Justin McCully,185.42,225.0,185.42,Orthodox,1976-02-18,11,61%,5,28%,2,11%,0.0,0%,1.58,37%,2.02,46%,1.28,44%,43%
Robert McDaniel,190.5,185.0,190.5,Southpaw,1983-05-03,28,74%,10,26%,0,0%,0.0,0%,1.64,44%,1.98,56%,0.93,NA,50%
Michael McDonald,180.34,205.0,NA,Orthodox,1965-02-06,1,50%,1,50%,0,0%,0.0,0%,NA,NA,0.4,NA,0.0,NA,0%
Scott McDonald,NA,NA,NA,NA,NA,1,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Michael McDonald,175.26,135.0,177.8,Orthodox,1991-01-15,17,81%,4,19%,0,0%,0.0,0%,2.69,42%,2.76,57%,1.09,66%,52%
Josh McDonald,NA,185.0,NA,NA,NA,9,60%,5,33%,0,0%,1.0,7%,0.8,57%,3.4,33%,9.0,NA,0%
Miles McDonald,170.18,115.0,NA,NA,1991-08-13,2,67%,1,33%,0,0%,0.0,0%,5.1,45%,4.0,43%,0.0,NA,100%
Justin McElfresh,198.12,205.0,NA,Orthodox,1980-01-04,6,60%,4,40%,0,0%,0.0,0%,4.59,26%,12.79,41%,0.0,NA,0%
Drew McFedries,182.88,185.0,182.88,Southpaw,1978-07-27,12,63%,7,37%,0,0%,0.0,0%,5.13,51%,4.56,52%,1.42,NA,56%
Liam McGeary,198.12,205.0,NA,NA,1982-10-04,12,86%,2,14%,0,0%,0.0,0%,1.28,48%,1.92,NA,0.51,NA,0%
Gan McGee,208.28,265.0,NA,Orthodox,1976-11-20,13,72%,5,28%,0,0%,0.0,0%,2.2,29%,2.31,59%,0.65,25%,83%
Court McGee,180.34,170.0,190.5,Orthodox,1984-12-12,23,64%,13,36%,0,0%,0.0,0%,4.6,37%,3.59,61%,1.87,25%,69%
Marcus McGhee,172.72,135.0,175.26,Orthodox,1990-05-07,10,91%,1,9%,0,0%,0.0,0%,6.06,48%,2.83,64%,0.46,33%,100%
Ryan McGillivray,180.34,170.0,NA,NA,1986-09-27,12,92%,0,0%,1,8%,0.0,0%,1.27,NA,2.2,52%,0.0,NA,44%
Ryan McGivern,182.88,185.0,NA,Orthodox,1980-01-17,13,65%,7,35%,0,0%,0.0,0%,2.22,29%,2.22,57%,0.0,NA,0%
Jack McGlaughlin,NA,NA,NA,Orthodox,NA,1,20%,4,80%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Conor McGregor,175.26,155.0,187.96,Southpaw,1988-07-14,22,79%,6,21%,0,0%,0.0,0%,5.32,49%,4.66,54%,0.67,55%,66%
Greg McIntyre,177.8,155.0,NA,Orthodox,1980-04-21,6,60%,4,40%,0,0%,0.0,0%,0.79,NA,1.36,41%,5.09,NA,0%
Antonio McKee,172.72,155.0,NA,Southpaw,1970-03-12,29,78%,6,16%,2,5%,0.0,0%,1.37,45%,0.74,74%,1.47,33%,57%
AJ McKee,177.8,145.0,NA,NA,NA,8,100%,0,0%,0,0%,0.0,0%,2.75,32%,0.92,NA,11.01,NA,100%
Rhys McKee,187.96,170.0,198.12,Orthodox,1995-09-10,13,65%,6,30%,1,5%,0.0,0%,4.8,45%,7.85,42%,0.0,NA,41%
Cory McKenna,160.02,115.0,147.32,Orthodox,1999-07-11,8,67%,4,33%,0,0%,0.0,0%,2.94,38%,3.68,46%,2.0,47%,75%
Tim McKenzie,182.88,185.0,187.96,Orthodox,1982-07-21,14,61%,9,39%,0,0%,0.0,0%,1.37,54%,2.96,44%,0.0,NA,28%
Cody McKenzie,182.88,155.0,182.88,Switch,1987-12-16,16,62%,10,38%,0,0%,0.0,0%,1.74,34%,2.5,67%,2.5,25%,14%
Terrance McKinney,177.8,155.0,185.42,Switch,1994-09-15,15,68%,7,32%,0,0%,0.0,0%,4.53,NA,2.63,45%,3.45,36%,85%
Brian McLaughlin,175.26,155.0,NA,NA,1984-05-12,6,75%,2,25%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jason McLean,165.1,145.0,NA,NA,NA,6,46%,7,54%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Garreth McLellan,185.42,185.0,182.88,Southpaw,1982-09-01,13,68%,6,32%,0,0%,0.0,0%,3.56,54%,2.94,45%,1.15,22%,34%
Sara McMann,167.64,135.0,167.64,Orthodox,1980-09-24,13,68%,6,32%,0,0%,0.0,0%,2.26,46%,1.92,47%,4.38,65%,50%
Tommy McMillen,NA,145.0,NA,NA,1997-12-15,6,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
James McSweeney,193.04,230.0,195.58,Switch,1980-10-24,15,50%,15,50%,0,0%,0.0,0%,3.94,55%,4.33,42%,0.52,33%,100%
Charles McTorry,NA,NA,NA,NA,NA,3,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Daniel McWilliams,185.42,185.0,NA,NA,NA,15,29%,37,71%,0,0%,0.0,0%,3.36,77%,NA,NA,0.0,NA,100%
Tim Means,187.96,170.0,190.5,Orthodox,1984-02-20,33,63%,17,33%,1,2%,1.0,2%,5.04,49%,3.65,NA,1.14,NA,64%
Yancy Medeiros,177.8,155.0,190.5,Orthodox,1987-09-07,15,62%,8,33%,0,0%,1.0,4%,4.36,37%,5.67,47%,0.33,NA,73%
Anistavio Medeiros,167.64,145.0,NA,Orthodox,1988-05-01,19,66%,10,34%,0,0%,0.0,0%,3.64,44%,5.0,47%,0.0,NA,0%
Kaline Medeiros,160.02,115.0,NA,NA,NA,8,62%,5,38%,0,0%,0.0,0%,2.06,NA,0.29,83%,4.41,NA,0%
MarQuel Mederos,177.8,155.0,175.26,Orthodox,1996-11-30,9,90%,1,10%,0,0%,0.0,0%,4.39,45%,3.29,63%,0.0,NA,90%
Uros Medic,185.42,170.0,180.34,Southpaw,1993-04-25,10,83%,2,17%,0,0%,0.0,0%,5.51,NA,3.18,58%,0.38,NA,55%
Todd Medina,177.8,193.0,NA,Southpaw,NA,11,52%,9,43%,0,0%,1.0,5%,NA,NA,NA,NA,0.0,NA,0%
Jason Medina,175.26,180.0,NA,NA,NA,21,57%,15,41%,1,3%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Jose Daniel Medina,182.88,185.0,187.96,Orthodox,1991-05-17,11,73%,4,27%,0,0%,0.0,0%,1.87,33%,4.93,48%,0.5,33%,31%
Emil Meek,180.34,170.0,187.96,Switch,1988-08-20,9,56%,5,31%,1,6%,1.0,6%,2.52,39%,2.53,38%,0.25,33%,47%
Sanford Alton Meeks,195.58,265.0,190.5,Orthodox,1994-04-05,1,50%,1,50%,0,0%,0.0,0%,0.71,42%,4.47,38%,7.06,25%,0%
Gerald Meerschaert,185.42,185.0,195.58,Southpaw,1987-12-18,37,67%,18,33%,0,0%,0.0,0%,3.1,45%,3.45,53%,2.01,35%,42%
Frank Megallon,177.8,185.0,NA,Southpaw,NA,2,40%,3,60%,0,0%,0.0,0%,1.14,21%,5.32,54%,0.0,NA,0%
Derrick Mehmen,193.04,205.0,NA,NA,1985-05-30,19,68%,9,32%,0,0%,0.0,0%,1.93,14%,4.53,48%,1.0,16%,0%
Miika Mehmet,NA,205.0,NA,Orthodox,NA,3,38%,5,62%,0,0%,0.0,0%,0.33,12%,7.29,24%,0.0,NA,0%
Jordan Mein,182.88,170.0,185.42,Orthodox,1989-10-10,31,72%,12,28%,0,0%,0.0,0%,3.35,44%,2.55,69%,1.56,58%,66%
Bryce Mejia,185.42,170.0,NA,NA,NA,3,75%,1,25%,0,0%,0.0,0%,3.49,62%,6.98,NA,0.0,NA,0%
Brian Melancon,172.72,170.0,NA,Orthodox,1982-05-28,7,70%,3,30%,0,0%,0.0,0%,4.18,49%,3.64,64%,2.02,NA,66%
Brandon Melendez,180.34,155.0,NA,Southpaw,1983-03-24,25,50%,25,50%,0,0%,0.0,0%,0.84,26%,0.56,63%,0.0,NA,25%
Gilbert Melendez,175.26,145.0,185.42,Orthodox,1982-04-12,22,73%,8,27%,0,0%,0.0,0%,3.44,33%,2.53,63%,1.64,41%,71%
Nair Melikyan,167.64,155.0,NA,NA,1997-08-08,11,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Marcelo Mello,170.18,170.0,NA,Southpaw,NA,1,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Fabio Mello,165.1,155.0,NA,Southpaw,NA,11,58%,8,42%,0,0%,0.0,0%,0.86,35%,3.94,NA,0.0,NA,0%
Vanessa Melo,165.1,135.0,165.1,Orthodox,1988-03-27,11,58%,8,42%,0,0%,0.0,0%,3.48,NA,6.13,59%,0.0,NA,71%
Antonio Mendes,190.5,205.0,195.58,Southpaw,1981-04-19,18,58%,13,42%,0,0%,0.0,0%,1.34,47%,6.85,22%,2.51,NA,100%
Chad Mendes,167.64,145.0,167.64,Orthodox,1985-05-01,18,78%,5,22%,0,0%,0.0,0%,2.78,49%,2.35,67%,4.13,55%,100%
Augusto Mendes,167.64,135.0,165.1,Orthodox,1983-03-03,6,75%,2,25%,0,0%,0.0,0%,2.42,34%,3.91,56%,1.75,33%,80%
Eddie Mendez,177.8,185.0,NA,NA,1984-01-16,8,62%,3,23%,1,8%,1.0,8%,1.71,33%,3.43,11%,0.0,NA,0%
Mateus Mendonca,167.64,125.0,180.34,Orthodox,1999-01-17,10,77%,3,23%,0,0%,0.0,0%,1.66,NA,4.14,NA,2.54,27%,55%
Luis Mendoza,NA,155.0,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Pietro Menga,170.18,125.0,172.72,Southpaw,1988-02-15,13,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Alonzo Menifield,182.88,205.0,193.04,Orthodox,1987-10-18,15,71%,5,24%,1,5%,0.0,0%,3.77,54%,3.7,49%,0.63,33%,76%
Ivan Menjivar,167.64,145.0,162.56,Orthodox,1982-05-30,25,68%,12,32%,0,0%,0.0,0%,2.78,37%,2.76,65%,0.56,28%,38%
Dave Menne,177.8,170.0,NA,Orthodox,1974-07-29,45,70%,17,27%,2,3%,0.0,0%,1.84,44%,1.99,42%,0.46,NA,57%
Steve Mensing,180.34,185.0,NA,Orthodox,1977-12-06,9,36%,13,52%,2,8%,1.0,4%,NA,NA,9.51,42%,0.0,NA,0%
Buck Meredith,187.96,185.0,NA,NA,1982-05-17,3,50%,3,50%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Adam Meredith,187.96,170.0,NA,NA,NA,5,62%,3,38%,0,0%,0.0,0%,2.63,NA,2.11,55%,7.89,NA,100%
Nick Meregali,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Joe Merritt,182.88,170.0,NA,Orthodox,1984-03-07,7,78%,2,22%,0,0%,0.0,0%,1.53,58%,0.73,66%,0.0,NA,68%
Jeremiah Metcalf,185.42,185.0,NA,Orthodox,NA,13,65%,7,35%,0,0%,0.0,0%,1.74,59%,0.27,NA,4.02,66%,100%
Jonathan Meunier,190.5,170.0,NA,Switch,1987-08-04,8,89%,1,11%,0,0%,0.0,0%,3.47,NA,1.43,69%,0.58,33%,58%
Yaotzin Meza,175.26,145.0,180.34,Orthodox,1981-02-04,21,64%,11,33%,0,0%,1.0,3%,1.43,41%,1.62,64%,1.06,NA,18%
Guy Mezger,185.42,200.0,NA,Orthodox,1968-01-01,30,65%,14,30%,2,4%,0.0,0%,2.3,32%,1.36,72%,0.39,NA,88%
Jonathan Micallef,182.88,170.0,195.58,Southpaw,1999-03-05,7,88%,1,12%,0,0%,0.0,0%,0.33,25%,1.66,16%,4.97,NA,50%
Brandon Michaels,175.26,185.0,NA,NA,NA,4,22%,14,78%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Andreas Michailidis,182.88,170.0,193.04,Orthodox,1988-07-18,13,68%,6,32%,0,0%,0.0,0%,2.9,51%,3.57,44%,1.12,27%,50%
David Michaud,175.26,155.0,NA,Orthodox,1988-11-10,11,79%,3,21%,0,0%,0.0,0%,3.25,43%,4.45,54%,2.53,58%,77%
Chris Mickle,175.26,145.0,NA,Orthodox,1983-07-10,30,56%,21,39%,2,4%,1.0,2%,3.03,27%,9.7,48%,0.0,NA,0%
Zachary Micklewright,182.88,155.0,187.96,Southpaw,1976-08-21,15,83%,3,17%,0,0%,0.0,0%,5.56,53%,4.72,54%,0.7,12%,100%
Kristof Midoux,185.42,220.0,NA,Orthodox,1974-07-30,6,38%,10,62%,0,0%,0.0,0%,0.7,43%,2.89,49%,0.0,NA,0%
Keith Mielke,172.72,185.0,NA,NA,NA,0,0%,5,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Chris Mierzwiak,185.42,185.0,NA,NA,1988-02-14,5,62%,3,38%,0,0%,0.0,0%,1.6,61%,1.73,48%,2.0,28%,0%
Gabriel Miglioli,172.72,170.0,NA,NA,NA,9,50%,9,50%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Bojan Mihajlovic,180.34,205.0,185.42,Orthodox,1980-03-30,10,62%,6,38%,0,0%,0.0,0%,1.23,35%,5.95,47%,0.0,NA,33%
Billy Miles,177.8,170.0,NA,Orthodox,1978-04-28,2,50%,2,50%,0,0%,0.0,0%,NA,NA,1.25,33%,0.0,NA,0%
Pat Miletich,177.8,170.0,NA,Orthodox,1968-03-09,29,76%,7,18%,2,5%,0.0,0%,1.79,45%,1.66,63%,1.96,NA,54%
Curtis Millender,187.96,170.0,193.04,Orthodox,1987-12-01,17,77%,5,23%,0,0%,0.0,0%,3.86,46%,2.95,61%,0.43,NA,57%
Phillip Miller,180.34,185.0,NA,Orthodox,1979-02-20,16,100%,0,0%,0,0%,0.0,0%,1.61,54%,1.93,NA,3.62,25%,100%
Jason Miller,185.42,185.0,NA,Orthodox,1980-12-24,23,68%,10,29%,0,0%,1.0,3%,1.83,43%,2.3,49%,1.31,28%,43%
Dan Miller,185.42,185.0,187.96,Orthodox,1981-06-30,14,61%,8,35%,0,0%,1.0,4%,2.03,36%,3.06,49%,1.67,54%,47%
Jim Miller,172.72,155.0,180.34,Southpaw,1983-08-30,38,67%,18,32%,0,0%,1.0,2%,2.99,42%,3.51,56%,1.52,44%,49%
Cole Miller,185.42,145.0,185.42,Orthodox,1984-04-26,21,64%,11,33%,0,0%,1.0,3%,3.0,33%,3.88,59%,0.6,36%,38%
Henry Miller,170.18,270.0,NA,Southpaw,1969-07-16,6,26%,16,70%,0,0%,1.0,4%,1.25,36%,2.16,54%,0.55,25%,60%
Micah Miller,182.88,145.0,NA,Orthodox,1987-02-14,20,69%,8,28%,0,0%,1.0,3%,1.33,33%,2.15,54%,0.98,37%,21%
Aaron Miller,175.26,145.0,NA,NA,NA,14,56%,10,40%,0,0%,1.0,4%,NA,NA,NA,NA,0.0,NA,0%
Mo Miller,172.72,135.0,182.88,Orthodox,1992-08-10,6,100%,0,0%,0,0%,0.0,0%,1.87,45%,1.33,NA,4.0,NA,0%
Juliana Miller,170.18,125.0,167.64,Orthodox,1996-05-07,4,57%,3,43%,0,0%,0.0,0%,3.31,45%,4.75,32%,1.84,44%,0%
Eddy Millis,185.42,185.0,NA,NA,NA,0,0%,2,100%,0,0%,0.0,0%,NA,NA,3.36,22%,0.0,NA,0%
Che Mills,185.42,170.0,193.04,Orthodox,1982-09-29,16,55%,10,34%,0,0%,3.0,10%,2.08,52%,2.87,43%,1.18,66%,58%
Adam Milstead,190.5,205.0,193.04,Orthodox,1987-07-03,8,67%,4,33%,0,0%,0.0,0%,3.85,46%,4.79,43%,0.0,NA,64%
Alberto Mina,182.88,170.0,195.58,Orthodox,1982-05-02,13,93%,1,7%,0,0%,0.0,0%,3.23,38%,3.7,47%,1.85,NA,50%
Vitaly Minakov,187.96,249.0,NA,NA,1985-02-06,20,100%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Darrick Minner,170.18,145.0,175.26,Orthodox,1990-04-28,26,65%,14,35%,0,0%,0.0,0%,2.63,65%,2.28,35%,2.4,72%,66%
Mike Minniger,NA,NA,NA,NA,NA,0,0%,0,0%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ikuhisa Minowa,175.26,181.0,NA,Orthodox,1976-01-12,60,55%,42,38%,8,7%,0.0,0%,0.88,NA,1.66,49%,1.82,41%,5%
Carlton Minus,177.8,170.0,190.5,Orthodox,1993-04-26,10,71%,3,21%,0,0%,1.0,7%,3.5,NA,4.97,NA,0.0,NA,58%
Stipe Miocic,193.04,240.0,203.2,Orthodox,1982-08-19,20,80%,5,20%,0,0%,0.0,0%,4.67,52%,4.01,52%,1.74,34%,65%
Frank Mir,190.5,264.0,200.66,Southpaw,1979-05-24,18,62%,11,38%,0,0%,0.0,0%,2.18,47%,3.84,38%,2.02,NA,54%
Juan Miranda,NA,155.0,NA,NA,NA,7,58%,5,42%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Mario Miranda,190.5,185.0,187.96,Orthodox,1979-07-12,14,67%,7,33%,0,0%,0.0,0%,1.96,54%,2.46,36%,1.02,NA,54%
Vitor Miranda,185.42,185.0,195.58,Orthodox,1979-03-10,12,71%,5,29%,0,0%,0.0,0%,2.98,45%,2.95,58%,0.95,55%,50%
Gabriel Miranda,180.34,145.0,180.34,Orthodox,1990-03-25,17,71%,7,29%,0,0%,0.0,0%,2.82,NA,5.3,37%,3.85,33%,0%
Damir Mirenic,182.88,185.0,NA,Orthodox,1974-08-02,9,69%,4,31%,0,0%,0.0,0%,0.84,NA,9.86,35%,0.0,NA,0%
Kazuo Misaki,172.72,183.0,NA,Orthodox,1976-04-25,25,64%,11,28%,2,5%,1.0,3%,2.85,NA,2.74,63%,0.72,38%,51%
Toby Misech,172.72,145.0,NA,Southpaw,1988-03-07,9,64%,5,36%,0,0%,0.0,0%,3.27,NA,7.73,46%,0.0,NA,0%
Dokonjonosuke Mishima,170.18,155.0,NA,Southpaw,1972-04-19,21,70%,7,23%,2,7%,0.0,0%,1.06,41%,1.22,52%,2.47,NA,25%
Felix Lee Mitchell,NA,NA,NA,Orthodox,NA,2,22%,7,78%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
David Mitchell,182.88,170.0,190.5,Orthodox,1979-10-24,22,76%,7,24%,0,0%,0.0,0%,1.74,32%,2.06,55%,0.66,NA,29%
Danny Mitchell,187.96,170.0,NA,Orthodox,1986-08-08,19,66%,9,31%,1,3%,0.0,0%,2.53,49%,2.53,52%,0.0,NA,100%
Brad Mitchell,180.34,145.0,NA,NA,1974-10-10,4,57%,2,29%,0,0%,1.0,14%,1.15,33%,4.2,52%,0.0,NA,100%
