fighter_name,height_cm,weight_pounds,reach_cm,stance,date_of_birth,f_wins,win_rate,f_losses,loss_rate,f_draws,draw_rate,f_dc_nc,dc_nc_rate,career_SLpM,career_StrAcc,career_SApM,career_StrDef,career_TD_Acc,career_TD_Def,career_Sub_Avg
Mario Bautista,175.26,135.0,175.26,Switch,1993-07-01,15,88%,2,12%,0,0%,0.0,0%,5.33,47%,3.91,54%,1.92,33%,66%
Chris Beal,170.18,125.0,175.26,Orthodox,1985-08-06,10,67%,5,33%,0,0%,0.0,0%,3.45,35%,3.18,61%,1.6,58%,78%
Donovan Beard,187.96,185.0,198.12,Orthodox,1989-11-05,7,78%,2,22%,0,0%,0.0,0%,NA,NA,5.77,28%,0.0,NA,0%
Rudy Bears,180.34,170.0,NA,Southpaw,NA,16,52%,15,48%,0,0%,0.0,0%,1.27,29%,2.53,NA,0.0,NA,0%
Salvador Becerra,175.26,155.0,NA,NA,NA,5,71%,2,29%,0,0%,0.0,0%,4.57,31%,3.83,58%,0.0,NA,66%
Ariel Beck,167.64,125.0,167.64,Southpaw,1990-09-16,4,44%,5,56%,0,0%,0.0,0%,4.44,34%,4.31,64%,0.0,NA,0%
Jeff Bedard,167.64,145.0,NA,Orthodox,1970-02-06,13,81%,3,19%,0,0%,0.0,0%,0.8,51%,NA,NA,3.43,66%,100%
Eric Bedard,187.96,239.0,NA,NA,1984-09-11,6,46%,7,54%,0,0%,0.0,0%,6.37,35%,8.54,52%,0.0,NA,0%
Johnny Bedford,177.8,135.0,180.34,Orthodox,1983-01-06,21,58%,13,36%,1,3%,1.0,3%,4.53,NA,1.75,63%,1.83,62%,62%
Rolando Bedoya,180.34,155.0,187.96,Orthodox,1997-01-13,14,78%,4,22%,0,0%,0.0,0%,7.29,49%,6.38,52%,0.0,NA,33%
Chase Beebe,170.18,135.0,170.18,Orthodox,1985-03-29,24,63%,13,34%,1,3%,0.0,0%,2.17,38%,1.64,69%,2.49,42%,41%
Lyle Beerbohm,177.8,155.0,NA,Southpaw,1979-02-05,24,89%,3,11%,0,0%,0.0,0%,1.98,55%,1.61,54%,2.1,23%,64%
Allan Begosso,165.1,135.0,167.64,Orthodox,1995-11-23,7,70%,2,20%,1,10%,0.0,0%,1.8,NA,7.73,34%,0.0,NA,25%
Mirsad Bektic,172.72,145.0,177.8,Orthodox,1991-02-16,13,76%,4,24%,0,0%,0.0,0%,2.43,41%,1.8,57%,3.98,52%,92%
Diana Belbita,170.18,115.0,172.72,Orthodox,1996-06-26,15,62%,9,38%,0,0%,0.0,0%,6.54,42%,6.55,51%,0.91,62%,65%
Alan Belcher,187.96,185.0,190.5,Orthodox,1984-04-24,18,69%,8,31%,0,0%,0.0,0%,2.7,41%,3.1,59%,0.44,26%,55%
Vitor Belfort,182.88,185.0,187.96,Southpaw,1977-04-01,26,63%,14,34%,0,0%,1.0,2%,1.59,46%,2.83,NA,1.02,NA,53%
Yousri Belgaroui,195.58,185.0,200.66,Orthodox,1992-06-02,8,73%,3,27%,0,0%,0.0,0%,4.43,NA,2.65,57%,0.0,NA,81%
Rodolfo Bellato,190.5,205.0,195.58,Orthodox,1996-02-05,12,86%,2,14%,0,0%,0.0,0%,6.47,61%,5.9,44%,1.09,25%,100%
Danilo Belluardo,182.88,155.0,187.96,Southpaw,1994-07-21,12,71%,5,29%,0,0%,0.0,0%,1.52,61%,4.79,41%,3.5,NA,50%
Joey Beltran,185.42,185.0,190.5,Orthodox,1981-12-08,17,53%,14,44%,0,0%,1.0,3%,4.92,36%,5.27,54%,0.48,18%,75%
Marco Beltran,172.72,125.0,175.26,Orthodox,1986-05-18,8,57%,6,43%,0,0%,0.0,0%,2.07,37%,1.93,63%,0.7,NA,46%
Joseph Benavidez,162.56,125.0,165.1,Southpaw,1984-07-31,28,78%,8,22%,0,0%,0.0,0%,3.52,34%,2.67,61%,1.41,NA,62%
Mike Bencic,182.88,215.0,NA,Orthodox,NA,1,33%,2,67%,0,0%,0.0,0%,NA,NA,3.32,53%,0.0,NA,0%
Dave Beneteau,187.96,250.0,NA,Orthodox,NA,6,50%,5,42%,1,8%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Karla Benitez,160.02,113.0,NA,NA,NA,14,52%,11,41%,1,4%,1.0,4%,NA,NA,2.4,57%,0.0,NA,100%
Gabriel Benitez,172.72,155.0,180.34,Southpaw,1988-06-15,23,64%,13,36%,0,0%,0.0,0%,5.26,41%,4.49,63%,0.22,NA,55%
Charles Bennett,172.72,155.0,NA,Orthodox,1979-11-23,30,46%,33,51%,2,3%,0.0,0%,1.39,39%,1.35,64%,2.02,NA,36%
Josh Bennett,193.04,259.0,NA,Orthodox,NA,11,44%,14,56%,0,0%,0.0,0%,2.9,NA,5.8,43%,1.5,NA,100%
DeAnna Bennett,162.56,125.0,172.72,Orthodox,1984-11-18,8,67%,3,25%,1,8%,0.0,0%,3.13,58%,3.27,58%,0.0,NA,0%
Benjamin Bennett,182.88,170.0,185.42,Switch,1994-05-08,7,88%,1,12%,0,0%,0.0,0%,4.53,54%,4.53,65%,6.0,NA,0%
Lance Benoist,180.34,170.0,182.88,Southpaw,1988-08-26,7,78%,2,22%,0,0%,0.0,0%,3.68,51%,2.7,56%,1.5,33%,61%
Joe Benoit,175.26,170.0,NA,Orthodox,1982-03-12,11,73%,4,27%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Ryan Benoit,165.1,125.0,172.72,Orthodox,1989-08-25,10,56%,8,44%,0,0%,0.0,0%,2.88,39%,3.65,58%,0.28,22%,72%
Pat Benson,175.26,155.0,NA,NA,NA,3,27%,5,45%,3,27%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Len Bentley,175.26,155.0,NA,NA,1982-11-30,10,62%,6,38%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Steve Berger,180.34,170.0,NA,Orthodox,1973-05-20,21,45%,23,49%,2,4%,1.0,2%,1.0,27%,3.26,36%,0.84,NA,16%
Kenneth Bergh,187.96,205.0,187.96,Orthodox,1989-06-26,8,89%,0,0%,0,0%,1.0,11%,4.56,75%,1.27,28%,0.0,NA,0%
Bret Bergmark,175.26,170.0,NA,NA,1973-11-24,6,75%,1,12%,1,12%,0.0,0%,2.78,52%,2.78,37%,4.17,NA,50%
Keith Berish,182.88,205.0,NA,Orthodox,1985-11-14,5,71%,1,14%,0,0%,1.0,14%,3.58,36%,4.81,62%,1.76,NA,0%
Dennis Bermudez,167.64,155.0,167.64,Orthodox,1986-12-13,17,65%,9,35%,0,0%,0.0,0%,4.42,46%,3.07,59%,3.89,NA,82%
Manny Bermudez,177.8,145.0,180.34,Orthodox,1994-07-16,14,88%,2,12%,0,0%,0.0,0%,2.92,61%,2.68,46%,3.06,54%,0%
Talita Bernardo,162.56,135.0,172.72,Orthodox,1987-03-04,6,60%,4,40%,0,0%,0.0,0%,3.12,42%,4.04,55%,1.62,22%,28%
Dave Berry,NA,NA,NA,NA,NA,0,0%,1,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Keith Berry,185.42,185.0,NA,NA,1987-10-25,15,48%,14,45%,1,3%,1.0,3%,0.27,12%,6.27,28%,0.0,NA,0%
Dieusel Berto,175.26,200.0,NA,NA,NA,0,0%,3,100%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Edson Berto,167.64,155.0,NA,Orthodox,1983-07-05,17,57%,12,40%,1,3%,0.0,0%,1.76,36%,4.62,47%,5.47,NA,0%
Allen Berube,172.72,155.0,NA,Orthodox,1974-08-25,4,57%,3,43%,0,0%,0.0,0%,0.92,NA,0.92,33%,6.87,NA,0%
Anton Berzin,187.96,205.0,NA,Orthodox,1989-09-29,5,83%,1,17%,0,0%,0.0,0%,4.4,46%,6.8,67%,2.0,28%,0%
Scott Bessac,193.04,245.0,NA,NA,NA,4,40%,6,60%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Matt Bessette,177.8,145.0,177.8,Orthodox,1984-12-28,22,69%,9,28%,0,0%,1.0,3%,4.36,41%,4.45,58%,0.64,28%,61%
Khadzhi Bestaev,198.12,185.0,193.04,NA,1988-07-16,10,71%,4,29%,0,0%,0.0,0%,6.15,29%,NA,43%,0.0,NA,0%
Fernando Bettega,NA,170.0,NA,NA,1980-03-10,7,58%,5,42%,0,0%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
Arjan Bhullar,185.42,245.0,190.5,Orthodox,1986-05-13,9,90%,1,10%,0,0%,0.0,0%,2.33,56%,3.25,59%,1.73,75%,100%
KB Bhullar,193.04,185.0,198.12,Switch,1991-10-12,8,80%,2,20%,0,0%,0.0,0%,4.31,49%,5.39,45%,0.0,NA,0%
Bibulatov Magomed,165.1,125.0,165.1,Orthodox,1988-08-22,14,88%,2,12%,0,0%,0.0,0%,3.6,51%,1.83,52%,2.85,NA,75%
David Bielkheden,177.8,155.0,180.34,Orthodox,1979-06-06,24,67%,12,33%,0,0%,0.0,0%,1.11,57%,1.64,54%,2.65,63%,14%
Blake Bilder,172.72,145.0,172.72,Switch,1990-07-12,8,73%,2,18%,1,9%,0.0,0%,3.81,48%,4.15,53%,0.31,7%,71%
Jonas Bilharinho,180.34,145.0,190.5,Switch,1990-05-22,9,82%,1,9%,1,9%,0.0,0%,3.71,NA,3.36,57%,0.0,NA,100%
Jeremiah Billington,175.26,205.0,NA,Orthodox,1977-11-14,11,85%,2,15%,0,0%,0.0,0%,1.6,62%,7.06,35%,0.0,NA,50%
Scott Bills,177.8,170.0,NA,NA,NA,7,41%,9,53%,1,6%,0.0,0%,NA,NA,NA,NA,0.0,NA,0%
